"taxon","SE","df","lower.CL","upper.CL","Family","Genus","taxon_label","Subset","Base","VEG","WO1","FERM","WO2","change","direction"
"521cf1c933ea1dda390abc8f73e54469",0.189101759561514,132,-8.29994539362125,-7.55182145043236,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_521cf1c933ea1dda390abc8f73e54469","Microbiome",NA,NA,-7.9258834220268,NA,NA,NA,NA
"521cf1c933ea1dda390abc8f73e54469",0.189101759561514,132,-8.29994539362125,-7.55182145043236,"f__Incertae_Sedis","g__Incertae_Sedis","f__Incertae_Sedis_g__Incertae_Sedis_521cf1c933ea1dda390abc8f73e54469","Microbiome",NA,NA,NA,NA,-7.9258834220268,NA,NA
"55d0524c2533fdee63a782163e995b8d",0.321683907472274,132.000000000001,-8.24440062096561,-6.97175549129255,"f__Lactobacillaceae","g__Ligilactobacillus","f__Lactobacillaceae_g__Ligilactobacillus_55d0524c2533fdee63a782163e995b8d","Microbiome",-7.60807805612908,NA,NA,NA,NA,NA,NA
"55d0524c2533fdee63a782163e995b8d",0.321683907472274,132,-8.56220598686333,-7.28956085719027,"f__Lactobacillaceae","g__Ligilactobacillus","f__Lactobacillaceae_g__Ligilactobacillus_55d0524c2533fdee63a782163e995b8d","Microbiome",NA,NA,-7.9258834220268,NA,NA,NA,NA
"55d0524c2533fdee63a782163e995b8d",0.321683907472274,132,-7.90939895196062,-6.63675382228755,"f__Lactobacillaceae","g__Ligilactobacillus","f__Lactobacillaceae_g__Ligilactobacillus_55d0524c2533fdee63a782163e995b8d","Microbiome",NA,NA,NA,NA,-7.27307638712409,NA,NA
"68d57be56fd6e12a28bad69cc3f4a45d",0.413794259719822,131.999999967388,-8.7444093679753,-7.1073574760783,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_68d57be56fd6e12a28bad69cc3f4a45d","Microbiome",-7.9258834220268,NA,NA,NA,NA,NA,NA
"68d57be56fd6e12a28bad69cc3f4a45d",0.413794259719822,131.999999967386,4.59153990813591,6.22859180003291,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_68d57be56fd6e12a28bad69cc3f4a45d","Microbiome",NA,NA,5.41006585408441,NA,NA,NA,NA
"68d57be56fd6e12a28bad69cc3f4a45d",0.413794259719822,131.999999967384,-8.7444093679753,-7.1073574760783,"f__Lachnospiraceae","g__Blautia","f__Lachnospiraceae_g__Blautia_68d57be56fd6e12a28bad69cc3f4a45d","Microbiome",NA,NA,NA,NA,-7.9258834220268,NA,NA
"ac9784872d4398edb647d5adaf08f4a8",0.22175858099886,131.999999999998,-7.98044668498298,-7.10312590046182,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Microbiome",-7.5417862927224,NA,NA,NA,NA,NA,NA
"ac9784872d4398edb647d5adaf08f4a8",0.22175858099886,132,-8.36454381428738,-7.48722302976622,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Microbiome",NA,NA,-7.9258834220268,NA,NA,NA,NA
"ac9784872d4398edb647d5adaf08f4a8",0.22175858099886,132,-8.36454381428738,-7.48722302976622,"f__Lachnospiraceae",NA,"f__Lachnospiraceae_ac9784872d4398edb647d5adaf08f4a8","Microbiome",NA,NA,NA,NA,-7.9258834220268,NA,NA
"be71cf3546f4dd3de3cccda869c2828f",0.206000922270852,132.000000000001,-7.97656954402691,-7.16158917246836,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Microbiome",-7.56907935824764,NA,NA,NA,NA,NA,NA
"be71cf3546f4dd3de3cccda869c2828f",0.206000922270852,132,-8.33337360780607,-7.51839323624753,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Microbiome",NA,NA,-7.9258834220268,NA,NA,NA,NA
"be71cf3546f4dd3de3cccda869c2828f",0.206000922270852,132,-8.33337360780607,-7.51839323624753,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_be71cf3546f4dd3de3cccda869c2828f","Microbiome",NA,NA,NA,NA,-7.9258834220268,NA,NA
"e6d8531f544476f4f04f923e93ba0527",0.30081028029519,131.999999999998,-8.52091588911759,-7.33085095493602,"f__Erysipelatoclostridiaceae","g__Erysipelotrichaceae_UCG-003","f__Erysipelatoclostridiaceae_g__Erysipelotrichaceae_UCG-003_e6d8531f544476f4f04f923e93ba0527","Microbiome",-7.9258834220268,NA,NA,NA,NA,NA,NA
"e6d8531f544476f4f04f923e93ba0527",0.30081028029519,132,-7.60297718080232,-6.41291224662075,"f__Erysipelatoclostridiaceae","g__Erysipelotrichaceae_UCG-003","f__Erysipelatoclostridiaceae_g__Erysipelotrichaceae_UCG-003_e6d8531f544476f4f04f923e93ba0527","Microbiome",NA,NA,-7.00794471371154,NA,NA,NA,NA
"e6d8531f544476f4f04f923e93ba0527",0.30081028029519,132,-8.52091588911759,-7.33085095493601,"f__Erysipelatoclostridiaceae","g__Erysipelotrichaceae_UCG-003","f__Erysipelatoclostridiaceae_g__Erysipelotrichaceae_UCG-003_e6d8531f544476f4f04f923e93ba0527","Microbiome",NA,NA,NA,NA,-7.9258834220268,NA,NA
